Date,game_name,team_name,Player_Id,shift_number,period,start_clock,end_clock,shift_length
11/16/2024,2024-11-16 - Team F at Team E,Team F,36,9,2,10:23,8:58,1:25
11/16/2024,2024-11-16 - Team F at Team E,Team F,78,16,2,10:23,8:58,1:25
11/16/2024,2024-11-16 - Team F at Team E,Team F,5,17,2,10:23,8:58,1:25
11/16/2024,2024-11-16 - Team F at Team E,Team E,29,15,2,18:43,17:41,1:02
11/16/2024,2024-11-16 - Team F at Team E,Team F,26,9,2,10:23,9:22,1:01
11/16/2024,2024-11-16 - Team F at Team E,Team F,49,7,2,10:23,9:22,1:01
11/16/2024,2024-11-16 - Team F at Team E,Team E,75,12,2,10:23,9:33,0:50
11/16/2024,2024-11-16 - Team F at Team E,Team E,47,10,2,18:43,17:53,0:50
11/16/2024,2024-11-16 - Team F at Team E,Team E,12,9,2,18:43,17:53,0:50
11/16/2024,2024-11-16 - Team F at Team E,Team E,11,9,2,18:43,17:53,0:50
11/16/2024,2024-11-16 - Team F at Team E,Team E,68,9,2,18:43,17:53,0:50
11/16/2024,2024-11-16 - Team F at Team E,Team F,26,7,2,18:43,17:53,0:50
11/16/2024,2024-11-16 - Team F at Team E,Team F,27,12,2,18:43,17:53,0:50
11/16/2024,2024-11-16 - Team F at Team E,Team F,5,12,2,18:43,17:53,0:50
11/16/2024,2024-11-16 - Team F at Team E,Team F,78,12,2,18:43,17:53,0:50
11/16/2024,2024-11-16 - Team F at Team E,Team E,89,9,2,10:23,9:40,0:43
11/16/2024,2024-11-16 - Team F at Team E,Team E,44,12,2,10:23,9:40,0:43
11/16/2024,2024-11-16 - Team F at Team E,Team E,45,12,2,10:23,9:40,0:43
11/16/2024,2024-11-16 - Team F at Team E,Team E,77,11,2,10:23,9:40,0:43
11/16/2024,2024-11-16 - Team F at Team E,Team F,36,9,2,10:23,8:58,1:25
11/16/2024,2024-11-16 - Team F at Team E,Team F,78,16,2,10:23,8:58,1:25
11/16/2024,2024-11-16 - Team F at Team E,Team F,5,17,2,10:23,8:58,1:25
11/16/2024,2024-11-16 - Team F at Team E,Team F,26,9,2,10:23,9:22,1:01
11/16/2024,2024-11-16 - Team F at Team E,Team F,49,7,2,10:23,9:22,1:01
11/16/2024,2024-11-16 - Team F at Team E,Team E,75,12,2,10:23,9:33,0:50
11/16/2024,2024-11-16 - Team F at Team E,Team E,89,9,2,10:23,9:40,0:43
11/16/2024,2024-11-16 - Team F at Team E,Team E,44,12,2,10:23,9:40,0:43
11/16/2024,2024-11-16 - Team F at Team E,Team E,45,12,2,10:23,9:40,0:43
11/16/2024,2024-11-16 - Team F at Team E,Team E,77,11,2,10:23,9:40,0:43
11/16/2024,2024-11-16 - Team F at Team E,Team F,36,9,2,10:23,8:58,1:25
11/16/2024,2024-11-16 - Team F at Team E,Team F,78,16,2,10:23,8:58,1:25
11/16/2024,2024-11-16 - Team F at Team E,Team F,5,17,2,10:23,8:58,1:25
11/16/2024,2024-11-16 - Team F at Team E,Team F,26,9,2,10:23,9:22,1:01
11/16/2024,2024-11-16 - Team F at Team E,Team F,49,7,2,10:23,9:22,1:01
11/16/2024,2024-11-16 - Team F at Team E,Team E,75,12,2,10:23,9:33,0:50
11/16/2024,2024-11-16 - Team F at Team E,Team E,89,9,2,10:23,9:40,0:43
11/16/2024,2024-11-16 - Team F at Team E,Team E,44,12,2,10:23,9:40,0:43
11/16/2024,2024-11-16 - Team F at Team E,Team E,45,12,2,10:23,9:40,0:43
11/16/2024,2024-11-16 - Team F at Team E,Team E,77,11,2,10:23,9:40,0:43
11/16/2024,2024-11-16 - Team F at Team E,Team F,36,9,2,10:23,8:58,1:25
11/16/2024,2024-11-16 - Team F at Team E,Team F,78,16,2,10:23,8:58,1:25
11/16/2024,2024-11-16 - Team F at Team E,Team F,5,17,2,10:23,8:58,1:25
11/16/2024,2024-11-16 - Team F at Team E,Team F,26,9,2,10:23,9:22,1:01
11/16/2024,2024-11-16 - Team F at Team E,Team F,49,7,2,10:23,9:22,1:01
11/16/2024,2024-11-16 - Team F at Team E,Team E,75,12,2,10:23,9:33,0:50
11/16/2024,2024-11-16 - Team F at Team E,Team E,89,9,2,10:23,9:40,0:43
11/16/2024,2024-11-16 - Team F at Team E,Team E,44,12,2,10:23,9:40,0:43
11/16/2024,2024-11-16 - Team F at Team E,Team E,45,12,2,10:23,9:40,0:43
11/16/2024,2024-11-16 - Team F at Team E,Team E,77,11,2,10:23,9:40,0:43
11/16/2024,2024-11-16 - Team F at Team E,Team F,36,9,2,10:23,8:58,1:25
11/16/2024,2024-11-16 - Team F at Team E,Team F,78,16,2,10:23,8:58,1:25
11/16/2024,2024-11-16 - Team F at Team E,Team F,5,17,2,10:23,8:58,1:25
11/16/2024,2024-11-16 - Team F at Team E,Team F,26,9,2,10:23,9:22,1:01
11/16/2024,2024-11-16 - Team F at Team E,Team F,49,7,2,10:23,9:22,1:01
11/16/2024,2024-11-16 - Team F at Team E,Team E,75,12,2,10:23,9:33,0:50
11/16/2024,2024-11-16 - Team F at Team E,Team E,89,9,2,10:23,9:40,0:43
11/16/2024,2024-11-16 - Team F at Team E,Team E,44,12,2,10:23,9:40,0:43
11/16/2024,2024-11-16 - Team F at Team E,Team E,45,12,2,10:23,9:40,0:43
11/16/2024,2024-11-16 - Team F at Team E,Team E,77,11,2,10:23,9:40,0:43
11/16/2024,2024-11-16 - Team F at Team E,Team F,36,9,2,10:23,8:58,1:25
11/16/2024,2024-11-16 - Team F at Team E,Team F,78,16,2,10:23,8:58,1:25
11/16/2024,2024-11-16 - Team F at Team E,Team F,5,17,2,10:23,8:58,1:25
11/16/2024,2024-11-16 - Team F at Team E,Team F,26,9,2,10:23,9:22,1:01
