Image Id,Period,Game Clock,Home_Player_Count,Away_Player_Count,Coverage_Percent
2024-11-15 Team D @ Team C_066828,1,18:04,4,5,0.0
2024-11-15 Team D @ Team C_066829,1,18:04,4,5,0.0
2024-11-15 Team D @ Team C_066830,1,18:04,4,5,0.0
2024-11-15 Team D @ Team C_066831,1,18:04,4,5,0.0
2024-11-15 Team D @ Team C_066832,1,18:04,4,5,0.0006287671693860731
2024-11-15 Team D @ Team C_066833,1,18:04,4,5,0.002905241301133237
2024-11-15 Team D @ Team C_066834,1,18:04,4,5,0.005779329275710584
2024-11-15 Team D @ Team C_066835,1,18:04,4,5,0.008945738205388751
2024-11-15 Team D @ Team C_066836,1,18:04,4,5,0.01244658884243265
2024-11-15 Team D @ Team C_066837,1,18:04,4,5,0.016368120940010153
2024-11-15 Team D @ Team C_066838,1,18:04,4,5,0.02098855505781534
2024-11-15 Team D @ Team C_066839,1,18:04,4,5,0.025330601532871286
2024-11-15 Team D @ Team C_066840,1,18:04,4,5,0.029483208171239398
2024-11-15 Team D @ Team C_066841,1,18:04,4,5,0.03386660770671196
2024-11-15 Team D @ Team C_066842,1,18:04,4,5,0.038467855680547024
2024-11-15 Team D @ Team C_066843,1,18:04,4,5,0.04266363900474229
2024-11-15 Team D @ Team C_066844,1,18:04,4,5,0.04764910892976129
2024-11-15 Team D @ Team C_066845,1,18:04,4,5,0.052769160175303156
2024-11-15 Team D @ Team C_066846,1,18:04,4,5,0.05713982846910219
2024-11-15 Team D @ Team C_066847,1,18:04,4,5,0.06166028459346705
2024-11-15 Team D @ Team C_066848,1,18:04,4,5,0.06673922574180265
2024-11-15 Team D @ Team C_066849,1,18:04,4,5,0.07188914016356043
2024-11-15 Team D @ Team C_066850,1,18:04,4,5,0.07790604836021556
2024-11-15 Team D @ Team C_066851,1,18:04,4,5,0.08335186136880465
2024-11-15 Team D @ Team C_066852,1,18:04,4,5,0.0889343037462797
2024-11-15 Team D @ Team C_066853,1,18:04,4,5,0.09570313384896258
2024-11-15 Team D @ Team C_066854,1,18:04,4,5,0.10123964617518796
2024-11-15 Team D @ Team C_066855,1,18:04,4,5,0.1059436835213154
2024-11-15 Team D @ Team C_066856,1,18:04,4,5,0.11028654293427083
2024-11-15 Team D @ Team C_066857,1,18:04,4,5,0.114671291726427
2024-11-15 Team D @ Team C_066858,1,18:04,4,5,0.12075274009019907
2024-11-15 Team D @ Team C_066859,1,18:04,4,5,0.12786761544274858
2024-11-15 Team D @ Team C_066860,1,18:04,4,5,0.13343797609043107
2024-11-15 Team D @ Team C_066861,1,18:04,4,5,0.13936160651441212
2024-11-15 Team D @ Team C_066862,1,18:04,4,5,0.14495232471315941
2024-11-15 Team D @ Team C_066863,1,18:04,4,5,0.14960387564382843
2024-11-15 Team D @ Team C_066864,1,18:04,4,5,0.15313948268682936
2024-11-15 Team D @ Team C_066865,1,18:04,4,5,0.1566050772254632
2024-11-15 Team D @ Team C_066866,1,18:04,4,5,0.15796474398443747
2024-11-15 Team D @ Team C_066867,1,18:04,4,5,0.15973103022095922
2024-11-15 Team D @ Team C_066868,1,18:04,4,5,0.1602524582718116
2024-11-15 Team D @ Team C_068201,1,18:04,5,5,0.11749935082000815
2024-11-15 Team D @ Team C_068202,1,18:03,10,10,0.11730357114928316
2024-11-15 Team D @ Team C_068203,1,18:03,10,10,0.11539893461246185
2024-11-15 Team D @ Team C_068204,1,18:03,10,10,0.11804168375900277
2024-11-15 Team D @ Team C_068205,1,18:03,10,10,0.12257770523275605
2024-11-15 Team D @ Team C_068206,1,18:03,10,10,0.12485923595641789
2024-11-15 Team D @ Team C_068207,1,18:03,10,10,0.1266892777008213
2024-11-15 Team D @ Team C_068208,1,18:03,10,10,0.12775450730773194
2024-11-15 Team D @ Team C_068209,1,18:03,10,10,0.12525025448168678
2024-11-15 Team D @ Team C_068210,1,18:03,10,10,0.12359960781335691
2024-11-15 Team D @ Team C_068211,1,18:03,10,10,0.1232627732017152
2024-11-15 Team D @ Team C_068212,1,18:03,10,10,0.130014346855696
2024-11-15 Team D @ Team C_068213,1,18:03,10,10,0.13283969399221265
2024-11-15 Team D @ Team C_068214,1,18:03,10,10,0.13605180349928872
2024-11-15 Team D @ Team C_068215,1,18:03,10,10,0.13963674898067496
2024-11-15 Team D @ Team C_068216,1,18:03,10,10,0.14184475283541154
2024-11-15 Team D @ Team C_068217,1,18:03,10,10,0.14389371378265192
2024-11-15 Team D @ Team C_068218,1,18:03,10,10,0.13839871873335954
2024-11-15 Team D @ Team C_068219,1,18:03,10,10,0.13759915090680452
2024-11-15 Team D @ Team C_068220,1,18:03,10,10,0.13537312459177248
2024-11-15 Team D @ Team C_068221,1,18:03,10,10,0.13231359447085814
2024-11-15 Team D @ Team C_068222,1,18:03,10,10,0.12862298316337709
2024-11-15 Team D @ Team C_068223,1,18:03,8,10,0.2613260412653752
2024-11-15 Team D @ Team C_068224,1,18:03,8,10,0.301334872295537
2024-11-15 Team D @ Team C_068225,1,18:03,8,10,0.3295724378892249
2024-11-15 Team D @ Team C_068226,1,18:03,8,10,0.386045387593225
2024-11-15 Team D @ Team C_068227,1,18:03,8,10,0.4303577184649037
2024-11-15 Team D @ Team C_068228,1,18:03,8,10,0.47407535787834487
2024-11-15 Team D @ Team C_068229,1,18:03,6,10,0.1878356683812128
2024-11-15 Team D @ Team C_068230,1,18:03,8,10,0.5712803707783672
2024-11-15 Team D @ Team C_068231,1,18:03,8,10,0.5564509628919173
2024-11-15 Team D @ Team C_068321,1,17:59,1,5,0.0
2024-11-15 Team D @ Team C_068322,1,17:59,1,5,0.0
2024-11-15 Team D @ Team C_068323,1,17:59,1,5,0.0
2024-11-15 Team D @ Team C_068324,1,17:59,1,5,0.0
2024-11-15 Team D @ Team C_068325,1,17:59,1,5,0.0
2024-11-15 Team D @ Team C_068326,1,17:59,1,5,0.0
2024-11-15 Team D @ Team C_068327,1,17:59,1,5,0.0
2024-11-15 Team D @ Team C_068328,1,17:59,1,5,0.0
2024-11-15 Team D @ Team C_068329,1,17:59,1,5,0.0
