Date,game_name,team_name,Player_Id,shift_number,period,start_clock,end_clock,shift_length
10/13/2024,2024-10-13 - Team B at Team A,Team A,3,5,1,12:41,11:06,1:35
10/13/2024,2024-10-13 - Team B at Team A,Team B,3,3,1,12:41,11:14,1:27
10/13/2024,2024-10-13 - Team B at Team A,Team A,20,4,1,12:41,11:14,1:27
10/13/2024,2024-10-13 - Team B at Team A,Team A,24,3,1,12:41,11:14,1:27
10/13/2024,2024-10-13 - Team B at Team A,Team A,12,4,1,12:41,11:18,1:23
10/13/2024,2024-10-13 - Team B at Team A,Team A,25,3,1,12:41,11:18,1:23
10/13/2024,2024-10-13 - Team B at Team A,Team B,20,4,1,10:33,9:33,1:00
10/13/2024,2024-10-13 - Team B at Team A,Team B,2,4,1,10:24,9:27,0:57
10/13/2024,2024-10-13 - Team B at Team A,Team A,14,4,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team A,21,3,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team A,3,6,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team A,38,5,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team B,9,5,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team B,25,5,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team B,23,3,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team B,18,3,1,12:41,11:53,0:48
10/13/2024,2024-10-13 - Team B at Team A,Team B,10,4,1,12:41,11:53,0:48
10/13/2024,2024-10-13 - Team B at Team A,Team B,40,4,1,12:41,12:33,0:08
10/13/2024,2024-10-13 - Team B at Team A,Team B,20,4,1,10:33,9:33,1:00
10/13/2024,2024-10-13 - Team B at Team A,Team B,2,4,1,10:24,9:27,0:57
10/13/2024,2024-10-13 - Team B at Team A,Team A,14,4,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team A,21,3,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team A,3,6,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team A,38,5,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team B,9,5,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team B,25,5,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team B,23,3,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team B,20,4,1,10:33,9:33,1:00
10/13/2024,2024-10-13 - Team B at Team A,Team B,2,4,1,10:24,9:27,0:57
10/13/2024,2024-10-13 - Team B at Team A,Team A,14,4,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team A,21,3,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team A,3,6,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team A,38,5,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team B,9,5,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team B,25,5,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team B,23,3,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team B,20,4,1,10:33,9:33,1:00
10/13/2024,2024-10-13 - Team B at Team A,Team B,2,4,1,10:24,9:27,0:57
10/13/2024,2024-10-13 - Team B at Team A,Team A,14,4,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team A,21,3,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team A,3,6,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team A,38,5,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team B,9,5,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team B,25,5,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team B,23,3,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team B,20,4,1,10:33,9:33,1:00
10/13/2024,2024-10-13 - Team B at Team A,Team B,2,4,1,10:24,9:27,0:57
10/13/2024,2024-10-13 - Team B at Team A,Team A,14,4,1,10:24,9:33,0:51
10/13/2024,2024-10-13 - Team B at Team A,Team A,21,3,1,10:24,9:33,0:51
