Image Id,Period,Game Clock,Player or Puck,Team,Player Id,Rink Location X (Feet),Rink Location Y (Feet),Rink Location Z (Feet),Goal Score
2024-11-16 Team F @ Team E_158278,2,18:43,Player,Home,47,-64.25597,8.566114,1.0,
2024-11-16 Team F @ Team E_158278,2,18:43,Player,Home,11,-62.55564,32.75411,1.0,
2024-11-16 Team F @ Team E_158278,2,18:43,Player,Home,68,-64.62364,19.27292,1.0,
2024-11-16 Team F @ Team E_158278,2,18:43,Player,Away,27,-71.31396,6.475691,1.0,
2024-11-16 Team F @ Team E_158278,2,18:43,Player,Away,5,-71.9177,34.6119,1.0,
2024-11-16 Team F @ Team E_158278,2,18:43,Player,Away,26,-71.54314,21.39937,1.0,
2024-11-16 Team F @ Team E_158278,2,18:43,Puck,,,,,,
2024-11-16 Team F @ Team E_158279,2,18:43,Player,Home,47,-64.22839,8.539669,1.0,
2024-11-16 Team F @ Team E_158279,2,18:43,Player,Home,11,-62.54777,32.74818,1.0,
2024-11-16 Team F @ Team E_158279,2,18:43,Player,Home,68,-64.6657,19.29334,1.0,
2024-11-16 Team F @ Team E_158279,2,18:43,Player,Away,27,-71.28485,6.47899,1.0,
2024-11-16 Team F @ Team E_158279,2,18:43,Player,Away,5,-71.9079,34.59275,1.0,
2024-11-16 Team F @ Team E_158279,2,18:43,Player,Away,26,-71.47593,21.35469,1.0,
2024-11-16 Team F @ Team E_158279,2,18:43,Puck,,,,,,
2024-11-16 Team F @ Team E_158280,2,18:43,Player,Home,47,-64.23122,8.562498,1.0,
2024-11-16 Team F @ Team E_158280,2,18:43,Player,Home,11,-62.57574,32.7462,1.0,
2024-11-16 Team F @ Team E_158280,2,18:43,Player,Home,68,-64.728,19.30827,1.0,
2024-11-16 Team F @ Team E_158280,2,18:43,Player,Away,27,-71.26862,6.525108,1.0,
2024-11-16 Team F @ Team E_158280,2,18:43,Player,Away,5,-71.91763,34.58659,1.0,
2024-11-16 Team F @ Team E_158280,2,18:43,Player,Away,26,-71.44794,21.36123,1.0,
2024-11-16 Team F @ Team E_158280,2,18:43,Puck,,,,,,
2024-11-16 Team F @ Team E_158281,2,18:43,Player,Home,47,-64.23901,8.596144,1.0,
2024-11-16 Team F @ Team E_158281,2,18:43,Player,Home,11,-62.55436,32.66184,1.0,
2024-11-16 Team F @ Team E_158281,2,18:43,Player,Home,68,-64.82063,19.3641,1.0,
2024-11-16 Team F @ Team E_158281,2,18:43,Player,Away,27,-71.25636,6.573118,1.0,
2024-11-16 Team F @ Team E_158281,2,18:43,Player,Away,5,-71.91459,34.56092,1.0,
2024-11-16 Team F @ Team E_158281,2,18:43,Player,Away,26,-71.4182,21.37451,1.0,
2024-11-16 Team F @ Team E_158281,2,18:43,Puck,,,,,,
2024-11-16 Team F @ Team E_158282,2,18:43,Player,Home,47,-64.23583,8.614853,1.0,
2024-11-16 Team F @ Team E_158282,2,18:43,Player,Home,11,-62.56911,32.70003,1.0,
2024-11-16 Team F @ Team E_158282,2,18:43,Player,Home,68,-64.87656,19.37771,1.0,
2024-11-16 Team F @ Team E_158282,2,18:43,Player,Away,27,-71.23904,6.601787,1.0,
2024-11-16 Team F @ Team E_158282,2,18:43,Player,Away,5,-71.91092,34.54875,1.0,
2024-11-16 Team F @ Team E_158282,2,18:43,Player,Away,26,-71.39151,21.38809,1.0,
2024-11-16 Team F @ Team E_158282,2,18:43,Puck,,,,,,
2024-11-16 Team F @ Team E_158283,2,18:43,Player,Home,47,-64.28114,8.725007,1.0,
2024-11-16 Team F @ Team E_158283,2,18:43,Player,Home,11,-62.55489,32.65471,1.0,
2024-11-16 Team F @ Team E_158283,2,18:43,Player,Home,68,-64.92967,19.40718,1.0,
2024-11-16 Team F @ Team E_158283,2,18:43,Player,Away,27,-71.22012,6.680298,1.0,
2024-11-16 Team F @ Team E_158283,2,18:43,Player,Away,5,-71.91206,34.5418,1.0,
2024-11-16 Team F @ Team E_158283,2,18:43,Player,Away,26,-71.37246,21.4295,1.0,
2024-11-16 Team F @ Team E_158283,2,18:43,Puck,,,,,,
2024-11-16 Team F @ Team E_158284,2,18:43,Player,Home,47,-64.27006,8.748459,1.0,
2024-11-16 Team F @ Team E_158284,2,18:43,Player,Home,11,-62.51973,32.65532,1.0,
2024-11-16 Team F @ Team E_158284,2,18:43,Player,Home,68,-64.9599,19.39164,1.0,
2024-11-16 Team F @ Team E_158284,2,18:43,Player,Away,27,-71.23331,6.733813,1.0,
2024-11-16 Team F @ Team E_158284,2,18:43,Player,Away,5,-71.91915,34.55774,1.0,
2024-11-16 Team F @ Team E_158284,2,18:43,Player,Away,26,-71.39347,21.50674,1.0,
2024-11-16 Team F @ Team E_158284,2,18:43,Puck,,,,,,
2024-11-16 Team F @ Team E_158285,2,18:43,Player,Home,47,-64.26511,8.822602,1.0,
2024-11-16 Team F @ Team E_158285,2,18:43,Player,Home,11,-62.53059,32.66119,1.0,
2024-11-16 Team F @ Team E_158285,2,18:43,Player,Home,68,-64.99905,19.41325,1.0,
2024-11-16 Team F @ Team E_158285,2,18:43,Player,Away,27,-71.19397,6.774829,1.0,
2024-11-16 Team F @ Team E_158285,2,18:43,Player,Away,5,-71.92317,34.57085,1.0,
2024-11-16 Team F @ Team E_158285,2,18:43,Player,Away,26,-71.39938,21.57788,1.0,
2024-11-16 Team F @ Team E_158285,2,18:43,Puck,,,,,,
2024-11-16 Team F @ Team E_158286,2,18:43,Player,Home,47,-64.2279,8.811856,1.0,
2024-11-16 Team F @ Team E_158286,2,18:43,Player,Home,11,-62.53564,32.64864,1.0,
2024-11-16 Team F @ Team E_158286,2,18:43,Player,Home,68,-65.03101,19.40866,1.0,
2024-11-16 Team F @ Team E_158286,2,18:43,Player,Away,27,-71.19741,6.854833,1.0,
2024-11-16 Team F @ Team E_158286,2,18:43,Player,Away,5,-71.88377,34.47842,1.0,
2024-11-16 Team F @ Team E_158286,2,18:43,Player,Away,26,-71.40035,21.60001,1.0,
2024-11-16 Team F @ Team E_158286,2,18:43,Puck,,,,,,
2024-11-16 Team F @ Team E_158287,2,18:43,Player,Home,47,-63.74596,8.228004,1.0,
2024-11-16 Team F @ Team E_158287,2,18:43,Player,Home,11,-61.93098,32.58964,1.0,
2024-11-16 Team F @ Team E_158287,2,18:43,Player,Home,68,-64.56643,19.0326,1.0,
2024-11-16 Team F @ Team E_158287,2,18:43,Player,Away,27,-70.8758,6.275656,1.0,
2024-11-16 Team F @ Team E_158287,2,18:43,Player,Away,5,-71.49921,34.4355,1.0,
2024-11-16 Team F @ Team E_158287,2,18:43,Player,Away,26,-71.06108,21.28617,1.0,
2024-11-16 Team F @ Team E_158287,2,18:43,Puck,,,,,,
2024-11-16 Team F @ Team E_158288,2,18:43,Player,Home,47,-63.05134,7.717554,1.0,
2024-11-16 Team F @ Team E_158288,2,18:43,Player,Home,11,-61.10426,32.6697,1.0,
2024-11-16 Team F @ Team E_158288,2,18:43,Player,Home,68,-63.86209,18.72206,1.0,
2024-11-16 Team F @ Team E_158288,2,18:43,Player,Away,27,-70.34784,5.753305,1.0,
2024-11-16 Team F @ Team E_158288,2,18:43,Player,Away,5,-70.85672,34.50121,1.0,
2024-11-16 Team F @ Team E_158288,2,18:43,Player,Away,26,-70.43583,20.98354,1.0,
2024-11-16 Team F @ Team E_158288,2,18:43,Puck,,,,,,
2024-11-16 Team F @ Team E_158289,2,18:43,Player,Home,47,-63.18973,7.817544,1.0,
2024-11-16 Team F @ Team E_158289,2,18:43,Player,Home,11,-61.29469,32.69997,1.0,
2024-11-16 Team F @ Team E_158289,2,18:43,Player,Home,68,-64.06865,18.82995,1.0,
2024-11-16 Team F @ Team E_158289,2,18:43,Player,Away,27,-70.44748,5.873495,1.0,
2024-11-16 Team F @ Team E_158289,2,18:43,Player,Away,5,-70.99557,34.4677,1.0,
2024-11-16 Team F @ Team E_158289,2,18:43,Player,Away,26,-70.55439,20.99527,1.0,
2024-11-16 Team F @ Team E_158289,2,18:43,Puck,,,,,,
2024-11-16 Team F @ Team E_158290,2,18:43,Player,Home,47,-63.48665,8.11798,1.0,
2024-11-16 Team F @ Team E_158290,2,18:43,Player,Home,11,-61.65462,32.63685,1.0,
2024-11-16 Team F @ Team E_158290,2,18:43,Player,Home,68,-64.37958,18.96524,1.0,
2024-11-16 Team F @ Team E_158290,2,18:43,Player,Away,27,-70.60652,6.15819,1.0,
2024-11-16 Team F @ Team E_158290,2,18:43,Player,Away,5,-71.24551,34.42656,1.0,
2024-11-16 Team F @ Team E_158290,2,18:43,Player,Away,26,-70.8318,21.18917,1.0,
2024-11-16 Team F @ Team E_158290,2,18:43,Puck,,,,,,
2024-11-16 Team F @ Team E_158291,2,18:43,Player,Home,47,-63.03541,7.856393,1.0,
2024-11-16 Team F @ Team E_158291,2,18:43,Player,Home,11,-61.08249,32.61478,1.0,
2024-11-16 Team F @ Team E_158291,2,18:43,Player,Home,68,-63.90331,18.79052,1.0,
2024-11-16 Team F @ Team E_158291,2,18:43,Player,Away,27,-70.22236,5.862944,1.0,
2024-11-16 Team F @ Team E_158291,2,18:43,Player,Away,5,-70.81452,34.4684,1.0,
2024-11-16 Team F @ Team E_158291,2,18:43,Player,Away,26,-70.41383,21.01948,1.0,
2024-11-16 Team F @ Team E_158291,2,18:43,Puck,,,,,,
2024-11-16 Team F @ Team E_158292,2,18:43,Player,Home,47,-62.5239,7.487223,1.0,
2024-11-16 Team F @ Team E_158292,2,18:43,Player,Home,11,-60.42262,32.60176,1.0,
2024-11-16 Team F @ Team E_158292,2,18:43,Player,Home,68,-63.36108,18.55876,1.0,
2024-11-16 Team F @ Team E_158292,2,18:43,Player,Away,27,-69.80669,5.469043,1.0,
2024-11-16 Team F @ Team E_158292,2,18:43,Player,Away,5,-70.33574,34.51269,1.0,
2024-11-16 Team F @ Team E_158292,2,18:43,Player,Away,26,-69.97691,20.80715,1.0,
2024-11-16 Team F @ Team E_158292,2,18:43,Puck,,,,,,
2024-11-16 Team F @ Team E_158293,2,18:43,Player,Home,47,-62.04102,7.234003,1.0,
2024-11-16 Team F @ Team E_158293,2,18:43,Player,Home,11,-59.79325,32.66042,1.0,
2024-11-16 Team F @ Team E_158293,2,18:43,Player,Home,68,-62.86226,18.41608,1.0,
2024-11-16 Team F @ Team E_158293,2,18:43,Player,Away,27,-69.40416,5.207367,1.0,
2024-11-16 Team F @ Team E_158293,2,18:43,Player,Away,5,-69.86174,34.62236,1.0,
2024-11-16 Team F @ Team E_158293,2,18:43,Player,Away,26,-69.54669,20.70656,1.0,
2024-11-16 Team F @ Team E_158293,2,18:43,Puck,,,,,,
2024-11-16 Team F @ Team E_158294,2,18:43,Player,Home,47,-61.95127,7.082973,1.0,
2024-11-16 Team F @ Team E_158294,2,18:43,Player,Home,11,-59.67023,32.64943,1.0,
2024-11-16 Team F @ Team E_158294,2,18:43,Player,Home,68,-62.79102,18.30548,1.0,
2024-11-16 Team F @ Team E_158294,2,18:43,Player,Away,27,-69.34623,5.045452,1.0,
2024-11-16 Team F @ Team E_158294,2,18:43,Player,Away,5,-69.81445,34.61905,1.0,
2024-11-16 Team F @ Team E_158294,2,18:43,Player,Away,26,-69.50777,20.60759,1.0,
2024-11-16 Team F @ Team E_158294,2,18:43,Puck,,,,,,
2024-11-16 Team F @ Team E_158295,2,18:43,Player,Home,47,-61.74177,6.77978,1.0,
2024-11-16 Team F @ Team E_158295,2,18:43,Player,Home,11,-59.37833,32.61593,1.0,
2024-11-16 Team F @ Team E_158295,2,18:43,Player,Home,68,-62.58196,18.0984,1.0,
2024-11-16 Team F @ Team E_158295,2,18:43,Player,Away,27,-69.19917,4.725852,1.0,
2024-11-16 Team F @ Team E_158295,2,18:43,Player,Away,5,-69.6199,34.5158,1.0,
2024-11-16 Team F @ Team E_158295,2,18:43,Player,Away,26,-69.37489,20.41762,1.0,
2024-11-16 Team F @ Team E_158295,2,18:43,Puck,,,,,,
2024-11-16 Team F @ Team E_158296,2,18:43,Player,Home,47,-61.58816,6.839275,1.0,
2024-11-16 Team F @ Team E_158296,2,18:43,Player,Home,11,-59.17639,32.70856,1.0,
2024-11-16 Team F @ Team E_158296,2,18:43,Player,Home,68,-62.41656,18.16906,1.0,
2024-11-16 Team F @ Team E_158296,2,18:43,Player,Away,27,-69.03944,4.803547,1.0,
2024-11-16 Team F @ Team E_158296,2,18:43,Player,Away,5,-69.42712,34.57938,1.0,
2024-11-16 Team F @ Team E_158296,2,18:43,Player,Away,26,-69.21046,20.50249,1.0,
2024-11-16 Team F @ Team E_158296,2,18:43,Puck,,,,,,
2024-11-16 Team F @ Team E_158297,2,18:43,Player,Home,47,-61.64101,6.734718,1.0,
2024-11-16 Team F @ Team E_158297,2,18:43,Player,Home,11,-59.24088,32.68353,1.0,
2024-11-16 Team F @ Team E_158297,2,18:43,Player,Home,68,-62.48085,18.09461,1.0,
2024-11-16 Team F @ Team E_158297,2,18:43,Player,Away,27,-69.07006,4.636045,1.0,
2024-11-16 Team F @ Team E_158297,2,18:43,Player,Away,5,-69.5202,34.538,1.0,
2024-11-16 Team F @ Team E_158297,2,18:43,Player,Away,26,-69.25124,20.36463,1.0,
2024-11-16 Team F @ Team E_158297,2,18:43,Puck,,,,,,
2024-11-16 Team F @ Team E_158298,2,18:43,Player,Home,47,-61.54183,6.520488,1.0,
2024-11-16 Team F @ Team E_158298,2,18:43,Player,Home,11,-59.0677,32.55583,1.0,
2024-11-16 Team F @ Team E_158298,2,18:43,Player,Home,68,-62.35954,17.86881,1.0,
2024-11-16 Team F @ Team E_158298,2,18:43,Player,Away,27,-68.98816,4.388315,1.0,
2024-11-16 Team F @ Team E_158298,2,18:43,Player,Away,5,-69.46758,34.48747,1.0,
2024-11-16 Team F @ Team E_158298,2,18:43,Player,Away,26,-69.18246,20.19071,1.0,
2024-11-16 Team F @ Team E_158298,2,18:43,Puck,,,,,,
2024-11-16 Team F @ Team E_158299,2,18:43,Player,Home,47,-62.17875,7.014082,1.0,
2024-11-16 Team F @ Team E_158299,2,18:43,Player,Home,11,-59.88548,32.47745,1.0,
2024-11-16 Team F @ Team E_158299,2,18:43,Player,Home,68,-63.02767,18.11729,1.0,
2024-11-16 Team F @ Team E_158299,2,18:43,Player,Away,27,-69.4761,4.970813,1.0,
2024-11-16 Team F @ Team E_158299,2,18:43,Player,Away,5,-70.0581,34.36305,1.0,
2024-11-16 Team F @ Team E_158299,2,18:43,Player,Away,26,-69.74593,20.46839,1.0,
2024-11-16 Team F @ Team E_158299,2,18:43,Puck,,,,,,
2024-11-16 Team F @ Team E_158300,2,18:43,Player,Home,47,-62.84849,7.567263,1.0,
2024-11-16 Team F @ Team E_158300,2,18:43,Player,Home,11,-60.73321,32.4937,1.0,
2024-11-16 Team F @ Team E_158300,2,18:43,Player,Home,68,-63.72777,18.45196,1.0,
2024-11-16 Team F @ Team E_158300,2,18:43,Player,Away,27,-69.93003,5.549757,1.0,
2024-11-16 Team F @ Team E_158300,2,18:43,Player,Away,5,-70.66583,34.32787,1.0,
2024-11-16 Team F @ Team E_158300,2,18:43,Player,Away,26,-70.30298,20.79819,1.0,
2024-11-16 Team F @ Team E_158300,2,18:43,Puck,,,,,,
2024-11-16 Team F @ Team E_158301,2,18:43,Player,Home,47,-62.46967,7.37021,1.0,
2024-11-16 Team F @ Team E_158301,2,18:43,Player,Home,11,-60.29793,32.5293,1.0,
2024-11-16 Team F @ Team E_158301,2,18:43,Player,Home,68,-63.34895,18.38314,1.0,
2024-11-16 Team F @ Team E_158301,2,18:43,Player,Away,27,-69.61262,5.398085,1.0,
2024-11-16 Team F @ Team E_158301,2,18:43,Player,Away,5,-70.30672,34.41492,1.0,
2024-11-16 Team F @ Team E_158301,2,18:43,Player,Away,26,-69.96223,20.78774,1.0,
2024-11-16 Team F @ Team E_158301,2,18:43,Puck,,,,,,
2024-11-16 Team F @ Team E_158302,2,18:43,Player,Home,47,-61.77734,6.936748,1.0,
2024-11-16 Team F @ Team E_158302,2,18:43,Player,Home,11,-59.42259,32.55011,1.0,
2024-11-16 Team F @ Team E_158302,2,18:43,Player,Home,68,-62.6315,18.13722,1.0,
2024-11-16 Team F @ Team E_158302,2,18:43,Player,Away,27,-69.04567,4.972216,1.0,
2024-11-16 Team F @ Team E_158302,2,18:43,Player,Away,5,-69.64006,34.50364,1.0,
2024-11-16 Team F @ Team E_158302,2,18:43,Player,Away,26,-69.28564,20.55983,1.0,
