Date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player_Id,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_Id_2,X_Coordinate_2,Y_Coordinate_2
10/13/2024,Team A,Team B,1,12:41,5,5,0,0,Team B,14,Penalty Taken,-52,-38.5,Holding,,,,28.0,,
10/13/2024,Team A,Team B,1,12:41,5,4,0,0,Team A,12,Faceoff Win,-69,-21.5,Backhand,,,,18.0,,
10/13/2024,Team A,Team B,1,12:40,5,4,0,0,Team A,20,Puck Recovery,-45,-25.5,,,,,,,
10/13/2024,Team A,Team B,1,12:40,5,4,0,0,Team A,20,Play,-45,-25.5,Direct,,,,3.0,-40.0,-15.5
10/13/2024,Team A,Team B,1,12:39,5,4,0,0,Team A,3,Play,-40,-15.5,Direct,,,,25.0,-32.0,12.5
10/13/2024,Team A,Team B,1,12:38,5,4,0,0,Team A,25,Play,-32,12.5,Direct,,,,3.0,-35.0,-3.5
10/13/2024,Team A,Team B,1,12:37,5,4,0,0,Team A,3,Play,-38,3.5,Direct,,,,25.0,-48.0,29.5
10/13/2024,Team A,Team B,1,12:37,5,4,0,0,Team A,25,Play,-48,29.5,Direct,,,,12.0,-51.0,-28.5
10/13/2024,Team A,Team B,1,12:35,5,4,0,0,Team A,12,Shot,-62,-17.5,Slapshot,Blocked,1.0,f,,,
10/13/2024,Team A,Team B,1,12:33,5,4,0,0,Team B,18,Faceoff Win,-69,-21.5,Backhand,,,,12.0,,
10/13/2024,Team A,Team B,1,12:28,5,4,0,0,Team A,3,Puck Recovery,-54,-28.5,,,,,,,
10/13/2024,Team A,Team B,1,12:26,5,4,0,0,Team A,3,Puck Recovery,-22,-38.5,,,,,,,
10/13/2024,Team A,Team B,1,12:25,5,4,0,0,Team A,3,Incomplete Play,-19,-37.5,Direct,,,,25.0,30.0,22.5
10/13/2024,Team A,Team B,1,12:22,5,4,0,0,Team A,25,Puck Recovery,40,38.5,,,,,,,
10/13/2024,Team A,Team B,1,12:20,5,4,0,0,Team A,25,Play,92,22.5,Indirect,,,,3.0,93.0,-21.5
10/13/2024,Team A,Team B,1,12:19,5,4,0,0,Team A,3,Play,93,-21.5,Indirect,,,,25.0,95.0,22.5
10/13/2024,Team A,Team B,1,12:18,5,4,0,0,Team A,25,Play,95,22.5,Indirect,,,,3.0,96.0,0.5
10/13/2024,Team A,Team B,1,12:12,5,4,0,0,Team A,3,Play,20,-14.5,Direct,,,,12.0,52.0,-12.5
10/13/2024,Team A,Team B,1,12:07,5,4,0,0,Team A,12,Play,-19,-13.5,Direct,,,,24.0,-33.0,-39.5
10/13/2024,Team A,Team B,1,12:07,5,4,0,0,Team A,12,Zone Entry,-26,-39.5,Played,,,,3.0,,
10/13/2024,Team A,Team B,1,12:06,5,4,0,0,Team A,24,Incomplete Play,-41,-37.5,Direct,,,,12.0,-53.0,-22.5
10/13/2024,Team A,Team B,1,12:05,5,4,0,0,Team B,3,Puck Recovery,-56,-38.5,,,,,,,
10/13/2024,Team A,Team B,1,12:05,5,4,0,0,Team B,3,Incomplete Play,-57,-38.5,Indirect,,,,18.0,-41.0,-38.5
10/13/2024,Team A,Team B,1,12:04,5,4,0,0,Team A,3,Puck Recovery,-31,-39.5,,,,,,,
10/13/2024,Team A,Team B,1,12:04,5,4,0,0,Team A,3,Play,-31,-39.5,Direct,,,,20.0,-32.0,5.5
10/13/2024,Team A,Team B,1,12:01,5,4,0,0,Team B,10,Puck Recovery,-35,-4.5,,,,,,,
10/13/2024,Team A,Team B,1,11:59,5,4,0,0,Team B,10,Dump In/Out,-12,-26.5,Lost,,,,,,
10/13/2024,Team A,Team B,1,11:55,5,4,0,0,Team A,3,Puck Recovery,80,-33.5,,,,,,,
10/13/2024,Team A,Team B,1,11:51,5,4,0,0,Team A,3,Play,34,16.5,Direct,,,,25.0,52.0,36.5
10/13/2024,Team A,Team B,1,11:47,5,4,0,0,Team A,25,Play,33,14.5,Direct,,,,12.0,10.0,-12.5
10/13/2024,Team A,Team B,1,11:45,5,4,0,0,Team A,24,Puck Recovery,-18,-37.5,,,,,,,
10/13/2024,Team A,Team B,1,11:45,5,4,0,0,Team A,24,Dump In/Out,-22,-38.5,Lost,,,,,,
10/13/2024,Team A,Team B,1,11:45,5,4,0,0,Team A,24,Zone Entry,-22,-38.5,Dumped,,,,3.0,,
10/13/2024,Team A,Team B,1,11:41,5,4,0,0,Team B,9,Puck Recovery,-96,-22.5,,,,,,,
10/13/2024,Team A,Team B,1,11:41,5,4,0,0,Team B,9,Dump In/Out,-96,-13.5,Lost,,,,,,
10/13/2024,Team A,Team B,1,11:40,5,4,0,0,Team A,20,Puck Recovery,-50,39.5,,,,,,,
10/13/2024,Team A,Team B,1,11:39,5,4,0,0,Team A,20,Play,-54,38.5,Direct,,,,24.0,-52.0,10.5
10/13/2024,Team A,Team B,1,11:38,5,4,0,0,Team A,24,Play,-44,25.5,Direct,,,,25.0,-83.0,36.5
10/13/2024,Team A,Team B,1,11:36,5,4,0,0,Team A,25,Play,-75,39.5,Direct,,,,3.0,-31.0,17.5
10/13/2024,Team A,Team B,1,11:35,5,4,0,0,Team A,3,Play,-31,17.5,Direct,,,,25.0,-53.0,35.5
10/13/2024,Team A,Team B,1,11:34,5,4,0,0,Team A,25,Play,-53,35.5,Direct,,,,12.0,-36.0,-27.5
10/13/2024,Team A,Team B,1,11:31,5,4,0,0,Team A,12,Puck Recovery,-16,-37.5,,,,,,,
10/13/2024,Team A,Team B,1,11:24,5,4,0,0,Team A,12,Puck Recovery,14,-38.5,,,,,,,
10/13/2024,Team A,Team B,1,11:23,5,4,0,0,Team A,12,Play,14,-31.5,Direct,,,,20.0,20.0,-3.5
10/13/2024,Team A,Team B,1,11:20,5,4,0,0,Team A,20,Play,33,21.5,Direct,,,,3.0,50.0,6.5
10/13/2024,Team A,Team B,1,11:11,5,4,0,0,Team A,3,Play,86,7.5,Direct,,,,28.0,57.0,14.5
10/13/2024,Team A,Team B,1,11:07,5,4,0,0,Team A,28,Zone Entry,-26,12.5,Carried,,,,8.0,,
10/13/2024,Team A,Team B,1,11:07,5,4,0,0,Team A,28,Incomplete Play,-29,14.5,Direct,,,,14.0,-39.0,38.5
10/13/2024,Team A,Team B,1,11:05,5,4,0,0,Team B,19,Puck Recovery,-40,39.5,,,,,,,
10/13/2024,Team A,Team B,1,11:05,5,4,0,0,Team B,19,Dump In/Out,-38,38.5,Lost,,,,,,
10/13/2024,Team A,Team B,1,11:01,5,4,0,0,Team B,15,Faceoff Win,-20,22.5,Forehand,,,,14.0,,
