Date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player_Id,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_Id_2,X_Coordinate_2,Y_Coordinate_2
11/15/2024,Team C,Team D,1,18:04,5,4,0,0,Team C,70,Faceoff Win,69,-21.5,Backhand,,,,27.0,,
11/15/2024,Team C,Team D,1,18:03,5,4,0,0,Team C,91,Puck Recovery,91,-25.5,,,,,,,
11/15/2024,Team C,Team D,1,18:03,5,4,0,0,Team C,91,Play,91,-25.5,Indirect,,,,26.0,52.0,41.5
11/15/2024,Team C,Team D,1,17:59,5,4,0,0,Team C,26,Play,52,41.5,Indirect,,,,62.0,99.0,7.5
11/15/2024,Team C,Team D,1,17:56,5,4,0,0,Team C,91,Puck Recovery,94,-19.5,,,,,,,
11/15/2024,Team C,Team D,1,17:56,5,4,0,0,Team C,91,Play,94,-19.5,Direct,,,,70.0,75.0,-0.5
11/15/2024,Team C,Team D,1,17:55,5,4,0,0,Team C,70,Shot,75,-0.5,Snapshot,On Net,0.0,t,,,
11/15/2024,Team C,Team D,1,17:50,5,4,0,0,Team C,26,Puck Recovery,79,7.5,,,,,,,
11/15/2024,Team C,Team D,1,17:50,5,4,0,0,Team C,26,Play,79,7.5,Direct,,,,70.0,73.0,8.5
11/15/2024,Team C,Team D,1,17:49,5,4,0,0,Team C,70,Play,71,5.5,Direct,,,,62.0,82.0,-13.5
11/15/2024,Team C,Team D,1,17:49,5,4,0,0,Team C,62,Shot,82,-13.5,Snapshot,Missed,0.0,t,,,
11/15/2024,Team C,Team D,1,17:47,5,4,0,0,Team C,62,Puck Recovery,93,-7.5,,,,,,,
11/15/2024,Team C,Team D,1,17:46,5,4,0,0,Team C,62,Incomplete Play,95,7.5,Direct,,,,26.0,68.0,3.5
11/15/2024,Team C,Team D,1,17:45,5,4,0,0,Team D,47,Takeaway,77,3.5,,,,,,,
11/15/2024,Team C,Team D,1,17:45,5,4,0,0,Team D,2,Penalty Taken,83,6.5,High-sticking,,,,26.0,,
11/15/2024,Team C,Team D,1,17:45,5,3,0,0,Team C,91,Faceoff Win,69,-21.5,Backhand,,,,37.0,,
11/15/2024,Team C,Team D,1,17:44,5,3,0,0,Team C,26,Puck Recovery,72,-21.5,,,,,,,
11/15/2024,Team C,Team D,1,17:44,5,3,0,0,Team C,26,Play,72,-21.5,Direct,,,,55.0,34.0,-30.5
11/15/2024,Team C,Team D,1,17:43,5,3,0,0,Team C,55,Play,34,-27.5,Direct,,,,14.0,39.0,13.5
11/15/2024,Team C,Team D,1,17:39,5,3,0,0,Team C,14,Play,46,22.5,Direct,,,,91.0,82.0,22.5
11/15/2024,Team C,Team D,1,17:38,5,3,0,0,Team C,91,Goal,82,23.5,Snapshot,On Net,0.0,f,,,
11/15/2024,Team C,Team D,1,17:37,5,4,1,0,Team D,45,Faceoff Win,0,0.5,Backhand,,,,89.0,,
11/15/2024,Team C,Team D,1,17:36,5,4,1,0,Team D,41,Puck Recovery,0,-7.5,,,,,,,
11/15/2024,Team C,Team D,1,17:36,5,4,1,0,Team D,41,Play,0,-7.5,Direct,,,,44.0,15.0,-7.5
11/15/2024,Team C,Team D,1,17:36,5,4,1,0,Team D,44,Dump In/Out,15,-7.5,Lost,,,,,,
11/15/2024,Team C,Team D,1,17:33,5,4,1,0,Team C,Go,Puck Recovery,-99,-1.5,,,,,,,
11/15/2024,Team C,Team D,1,17:32,5,4,1,0,Team C,Go,Play,-96,-0.5,Indirect,,,,14.0,-96.0,-0.5
11/15/2024,Team C,Team D,1,17:29,5,4,1,0,Team C,14,Play,-54,-22.5,Direct,,,,89.0,-56.0,-9.5
11/15/2024,Team C,Team D,1,17:26,5,4,1,0,Team C,89,Play,-45,-4.5,Direct,,,,14.0,6.0,-1.5
11/15/2024,Team C,Team D,1,17:25,5,4,1,0,Team C,14,Zone Entry,25,-2.5,Carried,,,,7.0,,
11/15/2024,Team C,Team D,1,17:24,5,4,1,0,Team C,14,Shot,73,3.5,Snapshot,On Net,0.0,f,,,
11/15/2024,Team C,Team D,1,17:23,5,4,1,0,Team C,14,Puck Recovery,90,16.5,,,,,,,
11/15/2024,Team C,Team D,1,17:23,5,4,1,0,Team C,14,Play,88,19.5,Direct,,,,84.0,84.0,9.5
